id;abbreviation;ekatte_num;name
509;HKV09-09;21539;Добрич
510;HKV09-10;22561;Долно Белево
511;HKV09-11;30658;Здравец
512;HKV09-12;31156;Златополе
513;HKV09-13;36573;Каснаково
514;HKV09-14;39668;Крепост
515;HKV09-15;39966;Крум
516;HKV09-16;46543;Малко Асеново
517;HKV09-17;47843;Меричлери
518;HKV09-18;61368;Радиево
519;HKV09-21;66831;Скобелево
520;HKV09-22;68669;Сталево
521;HKV09-23;69691;Странско
522;HKV09-24;76087;Върбица
523;HKV09-25;81092;Черногорово
524;HKV09-26;87076;Ябълково
527;HKV11-04;18054;Гугутка
437;DOB27-02;02405;Балик
438;DOB27-03;03215;Безмер
439;DOB27-04;04916;Божан
440;DOB27-05;05342;Бонево
475;GAB29-01;00103;Агатово
476;GAB29-02;02885;Батошево
478;GAB29-05;04555;Богатово
500;GAB29-33;07082;Буря
502;HKV09-01;04844;Бодрово
503;HKV09-02;06547;Брод
504;HKV09-03;06762;Бряст
528;HKV11-05;22705;Долно Луково
529;HKV11-07;29101;Железино
530;HKV11-09;37410;Кобилино
531;HKV11-10;38248;Кондово
532;HKV11-11;38317;Конници
533;HKV11-15;55748;Плевун
534;HKV11-16;56633;Планинец
535;HKV11-19;62935;Розино
536;HKV11-20;65704;Свирачи
537;HKV11-21;66932;Славеево
538;HKV11-23;80995;Черни рид
540;HKV11-25;59197;Пъстроок
542;HKV17-02;12560;Вълче поле
543;HKV17-03;14787;Георги Добрево
544;HKV17-04;34014;Йерусалимово
545;HKV17-05;44077;Лозен
546;HKV17-06;46574;Малко градище
547;HKV17-07;54033;Оряхово
549;HKV18-02;16496;Горни Главанак
550;HKV18-04;22375;Долни Главанак
551;HKV18-05;22856;Долно Съдиево
552;HKV18-07;31173;Златоустово
553;HKV18-09;63584;Ръженово
554;HKV18-10;66086;Селска поляна
555;HKV18-12;72792;Тополово
556;HKV18-13;63313;Румелия
560;HKV19-04;11106;Винево
561;HKV19-05;36325;Караманци
562;HKV19-06;38042;Колец
563;HKV19-07;66634;Сираково
564;HKV19-08;68237;Спахиево
565;HKV19-09;70250;Сусам
566;HKV19-10;70651;Сърница
567;HKV19-11;72103;Татарево
568;HKV28-01;14708;Генералово
569;HKV28-02;21078;Димитровче
570;HKV28-03;36110;Капитан Андреево
571;HKV28-04;43205;Левка
572;HKV28-05;48533;Михалич
573;HKV28-06;48698;Младиново
574;HKV28-07;48979;Момково
575;HKV28-08;49446;Мустрак
576;HKV28-09;59183;Пъстрогор
577;HKV28-10;61844;Райкова могила
578;HKV28-11;66370;Сива река
579;HKV28-12;67146;Сладун
580;HKV28-13;70055;Студена
581;HKV28-14;81116;Чернодъб
582;HKV28-16;47737;Мезек
583;HKV29-01;23964;Дряново
584;HKV29-02;35599;Калугерово
585;HKV29-03;38368;Константиново
586;HKV29-04;51010;Навъсен
587;HKV29-06;65721;Свирково
588;HKV29-07;73208;Троян
589;HKV29-08;73821;Тянево
590;HKV30-03;11692;Воденци
591;HKV30-04;11822;Войводенец
592;HKV30-06;15610;Голобрадово
593;HKV30-09;22770;Долно поле
594;HKV30-11;29550;Жълти бряг
597;HKV30-14;15093;Гледка
598;HKV30-15;15775;Голям извор
599;HKV30-16;22575;Долно Ботево
600;HKV30-17;22887;Долно Черковище
601;HKV30-18;30908;Зимовина
602;HKV30-19;44803;Лясковец
603;HKV30-20;57618;Поповец
604;HKV30-21;58815;Пчелари
605;HKV30-22;65629;Светослав
606;HKV30-23;73585;Тънково
607;HKV30-24;78094;Царева поляна
608;HKV30-25;39400;Кралево
609;HKV30-26;46070;Маджари
610;HKV30-27;46899;Малък извор
611;HKV30-28;59207;Пътниково
612;HKV30-29;61025;Рабово
539;HKV11-24;07733;Бялградец
541;HKV17-01;03544;Белица
548;HKV18-01;05503;Бориславци
557;HKV19-01;00446;Ангел войвода
558;HKV19-02;05983;Боян Ботево
559;HKV19-03;06803;Брястово
613;HKV30-30;66411;Силен
615;HKV32-03;24013;Капитан Петко войвода
616;HKV32-05;37407;Княжево
617;HKV32-06;49219;Мрамор
618;HKV32-07;53802;Орешник
619;HKV32-08;53895;Орлов дол
620;HKV32-11;61491;Радовец
621;HKV32-13;66487;Синапово
622;HKV32-14;68583;Срем
623;HKV32-15;75191;Устрем
624;HKV32-16;77325;Хлябово
629;HKV33-05;12810;Върбово
630;HKV33-06;23011;Доситеево
631;HKV33-08;32100;Иваново
632;HKV33-09;32487;Изворово
633;HKV33-12;51041;Надежден
634;HKV33-13;53237;Овчарово
635;HKV33-14;53775;Орешец
636;HKV33-16;57434;Поляново
637;HKV33-17;58244;Преславец
638;HKV33-18;62832;Рогозиново
639;HKV33-19;67101;Славяново
640;HKV33-20;67581;Смирненци
641;HKV33-21;80552;Черепово
642;HKV33-23;83377;Шишманово
645;HKV34-03;11867;Войводово
646;HKV34-04;12382;Въгларово
647;HKV34-05;14550;Гарваново
648;HKV34-06;15429;Големанци
649;HKV34-07;16729;Горно Войводино
650;HKV34-08;18232;Гълъбец
651;HKV34-09;21155;Динево
652;HKV34-10;22589;Долно Войводино
653;HKV34-11;24949;Долно Големанци
654;HKV34-12;27200;Елена
655;HKV34-13;31365;Зорница
656;HKV34-14;37321;Клокотница
657;HKV34-15;37383;Книжовник
658;HKV34-16;37770;Козлец
659;HKV34-17;38399;Конуш
660;HKV34-18;38580;Корен
661;HKV34-19;39863;Криво поле
662;HKV34-21;46293;Малево
663;HKV34-22;46992;Манастир
664;HKV34-23;47055;Мандра
665;HKV34-24;47442;Маслиново
666;HKV34-25;51682;Николово
667;HKV34-26;51891;Нова Надежда
668;HKV34-27;53936;Орлово
669;HKV34-28;57042;Подкрепа
670;HKV34-29;62880;Родопи
671;HKV34-30;68692;Стамболийски
672;HKV34-31;69359;Стойково
673;HKV34-32;72182;Текето
674;HKV34-33;72953;Тракиец
675;HKV34-34;75085;Узунджово
676;HKV34-35;83288;Широка поляна
677;JAM03-01;11658;Воден
678;JAM03-03;15881;Голямо Крушево
679;JAM03-10;46704;Малко Шарково
680;JAM03-11;46958;Мамарчево
681;JAM03-13;57652;Попово
682;JAM03-16;69208;Стефан Караджово
683;JAM03-18;83051;Шарково
685;JAM07-05;17748;Гранитово
686;JAM07-08;32576;Изгрев
687;JAM07-11;43459;Лесово
688;JAM07-12;46797;Маломирово
689;JAM07-13;46904;Малък манастир
690;JAM07-14;47768;Мелница
691;JAM07-15;58801;Пчела
692;JAM07-16;36909;Кирилово
693;JAM07-17;61738;Раздел
694;JAM07-18;29516;Жребино
695;JAM07-19;73328;Трънково
698;JAM22-04;11661;Воденичане
614;HKV32-01;07346;Българска поляна
625;HKV33-01;04128;Бисер
626;HKV33-02;05298;Болярски извор
627;HKV33-03;06080;Браница
628;HKV33-04;07315;Българин
643;HKV34-01;00326;Александрово
644;HKV34-02;06759;Брягово
699;JAM22-05;11908;Войника
700;JAM22-07;30898;Зимница
701;JAM22-09;32771;Иречеково
702;JAM22-10;35794;Каменец
703;JAM22-12;44118;Лозенец
704;JAM22-13;44666;Люлин
705;JAM22-16;55244;Палаузово
706;JAM22-19;59046;Първенец
707;JAM22-20;46303;Маленово
708;JAM22-21;20804;Джинот
709;JAM22-22;51384;Недялско
710;JAM22-23;57409;Поляна
711;JAM22-24;72076;Тамарино
712;JAM22-25;80220;Чарда
716;JAM25-06;10776;Веселиново
717;JAM25-07;14725;Генерал Тошево
718;JAM25-08;15789;Голям манастир
719;JAM25-09;18259;Гълъбинци
720;JAM25-10;23501;Дражево
721;JAM25-13;30096;Завой
722;JAM25-14;30956;Златари
723;JAM25-15;32740;Генерал Инзово
724;JAM25-16;35028;Кабиле
725;JAM25-17;35609;Калчево
726;JAM25-21;40018;Крумово
727;JAM25-22;40484;Кукорево
728;JAM25-23;46783;Маломир
729;JAM25-27;48787;Могила
730;JAM25-28;53299;Овчи кладенец
731;JAM25-29;53480;Окоп
732;JAM25-30;56873;Победа
733;JAM25-31;62757;Робово
734;JAM25-32;62921;Роза
735;JAM25-33;65036;Савино
736;JAM25-35;66737;Скалица
737;JAM25-36;67177;Сламино
738;JAM25-37;68878;Стара река
739;JAM25-38;72240;Тенево
740;JAM25-39;73657;Търнава
741;JAM25-40;77030;Хаджидимитрово
742;JAM25-41;77150;Ханово
743;JAM25-42;80217;Чарган
745;JAM25-44;36200;Каравелово
746;JAM25-45;37681;Козарево
747;JAM25-46;47562;Меден кладенец
748;JAM25-47;47682;Межда
749;JAM25-48;48101;Миладиновци
750;JAM25-49;66456;Симеоново
751;JAM25-50;80306;Челник
752;JAM25-51;38279;Коневец
753;KNL04-05;15457;Голям Върбовник
754;KNL04-06;15535;Големо село
